Tweet ID,Tweet_count,Username,Text,Created At,Retweets,Likes
1848632470196957408,33,the grip reaper 🎃,To the girlie who accidentally fell into me while we were leaving the festival I hope you're okay and got home safely 💖💖 #wwwy,Tue Oct 22 07:48:21 +0000 2024,0,0
1848624649166590217,34,single serving tøry is NOT @ WWWY 🍉,"been about a year since i first saw dunes live in a small venue in seattle, now just over a year later i got to see them again, this time playing a festival with thousands of attendees. a lot has changed in the span of the year but at least im still here screaming these lyrics :) https://t.co/M468DaZfxV",Tue Oct 22 07:17:16 +0000 2024,0,3
1848621349566136377,35,Kate/Kas ↯ ✈︎ WWWY,@ihavehands_wtf I can and will be blaming all stolen items from the festival on Ryan Seaman,Tue Oct 22 07:04:10 +0000 2024,0,1
1848611626485784743,36,lightnxus,"""But I swear to God, I'm gonna change the world."" 🫶 I still can't believe I saw PTV. Post festival depression is hitting. #WWWY https://t.co/CmEs0unpKp",Tue Oct 22 06:25:31 +0000 2024,0,2
1848609641762017736,37,jensen ~WWWY 19TH!!~,"how do you stay at barricade for the whole festival?? like bro, me and my sister were in the crowd from the end of the used, till fob ended, and the only reason we left the crowd was I was dying bc I ran out of water 😭 do you eat? how do you get water?",Tue Oct 22 06:17:38 +0000 2024,0,3
1848602999972589860,38,dobby torreznos,"NOTICIA DE ULTIMA HORA ‼️
Gerard Way se cae en pleno concierto del festival wwwy y se parte el hueso del culo  https://t.co/xZh8aV7PLb",Tue Oct 22 05:51:15 +0000 2024,0,7
1848596654439411871,39,lilo vai ver o BMTH,o álbum foi lançado em 2012 e só agora no WWWY festival que tocaram the first punch pela primeira … quem viveu isso foi muito feliz,Tue Oct 22 05:26:02 +0000 2024,0,1
1848595042396512615,40,Alan Wake's Little Backpack 🫒,"Would anyone be interested in a WWWY Festival photo/video dump? 

I get home tomorrow and I should be able to start looking through my footage then.",Tue Oct 22 05:19:37 +0000 2024,0,8
1848591540052009159,41,xwickedstyleex,"all the wwwy posts i saw from the weekend and this is the one i cannot stop thinking about. vegan options at festivals have come such a long way. in 2024 this is just tragic. like the music, i guess maybe they wanted the food to also bring people back fifteen to twenty years ago.",Tue Oct 22 05:05:42 +0000 2024,0,1
1848587801270366705,42,✨️👻The Semen Demon👻✨,I'm gonna need WWWY to drop the lineup and dates for next year asap. That was the most fun I ever had at a fucking festival. I had more at wwwy than I did at Waroed tour but it's cause this time I was older and had money.,Tue Oct 22 04:50:51 +0000 2024,0,1
1848579474339565609,43,ara is tired at WWWY (❀. ‿ .),unintended consequence of the going to the nostalgia music festival was experiencing evil nostalgia (ptsd flashbacks in the pit),Tue Oct 22 04:17:46 +0000 2024,0,1
1848578168313073761,44,selena,do people not screech/sing at concerts/festivals? cuz in all my wwwy videos im going batshit and sound absolutely wreched but other people's videos are nice and calm and i can actually hear the bands lmao 😭😭,Tue Oct 22 04:12:34 +0000 2024,0,0
1848574930125779007,45,RG | Onetoothwilly,"WWWY festival was an absolute blast! Nostalgic as fuck, great to relive and make new memories with the scene I grew up in! Had so much fun with my love! Music is what brought us together. https://t.co/3gkR7MRRGu",Tue Oct 22 03:59:42 +0000 2024,0,1
1848554028864553345,46,patricinha malvada 🔜 WWWY,"sabe oq machuca? Americano não pula não canta nao se entrega a maioria fica só parado vendo show como se estivesse vendo um dvd. O fã brasileiro é o melhor q existe de fato e isso foi literalmente o que eu mais senti falta nesse festival.

Aquele coro entonando cada m2 de fest",Tue Oct 22 02:36:39 +0000 2024,0,1
1848551902679863570,47,☮︎ Nurse 𝐀𝐍𝐀𝐇𝐈 w̸,The Audacity of my sister not sending me the video she recorded of me when I was singing If You Can't Hang at Kareoke the night b4 the WWWY festival,Tue Oct 22 02:28:12 +0000 2024,0,0
1848550551513907280,48,in dubio pau no reo,"Eu vendo os videos do wwwy festival e pensando
Mds como a estrutura é pequena
Tipo o brasil da de 10 em tamanho
Fora o publico neh, os artistas sonham em ter o publico brasileiro, so n sabem",Tue Oct 22 02:22:50 +0000 2024,0,3
1848542793607561398,49,Germain Gray,Hoping for a chance at the 2025 When We Were Young Festival tickets. Watching all the videos from this year’s festival makes me wish I could be there. #WWWY #wwwy2024 @WWWYFest,Tue Oct 22 01:52:00 +0000 2024,0,0
1848542668583801198,50,giugiwithsirens🌊,I deserved to be at wwwy festival and hear my faves album and the one I got tattoed on my arms🥲while I’m at home stud(y)ing for one of the biggest exams of my career🥲🥲,Tue Oct 22 01:51:31 +0000 2024,0,0
1848542021939826830,51,paci!!,anyway i was at the wwwy festival https://t.co/xPDyXw0680,Tue Oct 22 01:48:56 +0000 2024,0,3
1848536349122695375,52,⸸ɴᴇᴄʀᴏʙᴀʀʙɪᴇ⸸ 🔪,every photo I see of gerard way from the WWWY festival makes my heart explode he's so beautiful,Tue Oct 22 01:26:24 +0000 2024,0,3
1848531323368976804,53,spuki🇦🇷,hoy con una compañera de la facultad hablamos sobre el festival del wwwy 😞 y q gerard estaba re joven,Tue Oct 22 01:06:26 +0000 2024,0,0
1848530858019561912,54,kumparan,"My Chemical Romance jadi salah satu headliner When We Were Young Festival (WWWY) 2024 di Las Vegas, Amerika Serikat. #kumparanHITS #newsupdate https://t.co/PYk6w9RuzO",Tue Oct 22 01:04:35 +0000 2024,0,1
1848528429957906481,55,DIO @ WWWY Festival,"This festival took alot from me, I don't how I did it when I was teenagers. Overall I just had a great experience at the festival. https://t.co/SGoKrn1TOp",Tue Oct 22 00:54:56 +0000 2024,0,1
1848527746219315623,56,DIO @ WWWY Festival,@BaysideBand I couldn't help myself in seeing them again. https://t.co/NybXDNYQq9,Tue Oct 22 00:52:13 +0000 2024,0,0
1848527446670508051,57,DIO @ WWWY Festival,Spent some time seeing @BaysideBand still putting on a great show https://t.co/ThcJNGjBoC,Tue Oct 22 00:51:01 +0000 2024,0,0
1848527074321195031,58,DIO @ WWWY Festival,Finally got to see Band Called @themaine and it was so relaxing https://t.co/2RA6iSMeAU,Tue Oct 22 00:49:33 +0000 2024,0,0
1848522296711069763,59,K8 🎱✨🎃 WWWY 1&2!!!,and when I say that 3OH!3 was one of the best sets of the entire festival,Tue Oct 22 00:30:34 +0000 2024,7,144
1848517778204201261,60,gisel⁴ ⊬,"estoy viendo videos de mcr en el wwwy festival y el publico más quieto y mudo que nunca aaaaa que bronca, ojalá vengan a latam en 2025 así disfrutan de un público de verdad",Tue Oct 22 00:12:36 +0000 2024,0,2
1848513853572653562,61,Jene fã da Doce Maria ☮️,"eu passava 80% do tempo falando da apresentação de todas as faixas do the black parade no wwwy festival e os outros 20% torcendo para alguém falar sobre , para que eu possa continuar falando tbm",Mon Oct 21 23:57:01 +0000 2024,0,0
1848511368003293202,62,honni 🍞,ive been crying all day over the mcr and ptv videos at the wwwy festival 💔💔💔 THAT SHOULD BE MEEEEE,Mon Oct 21 23:47:08 +0000 2024,0,0
1848509390292193403,63,rev,"now that wwwy festival is over, here’s my ENTIRE when we were young experience!🧵a thread; https://t.co/jrEYEEAomo",Mon Oct 21 23:39:16 +0000 2024,3,6
1848488218003734619,64,Millie,My feet are killing me. My body is sore. A 14+ hour festival is no joke but I am so grateful for everything in life that has lead me to this moment to where I got to experience such a life changing moment. Until next year WWWY. https://t.co/b8HXXdOcwZ,Mon Oct 21 22:15:09 +0000 2024,0,11
1848486160626291167,65,DIO @ WWWY Festival,@piercetheveil @WWWYFest You guys were one of the highlights for me. https://t.co/zPdiKVwGMl,Mon Oct 21 22:06:58 +0000 2024,0,0
1848485755716354334,66,single serving tøry is NOT @ WWWY 🍉,post festival and seeing ur best friend for the first time hitting hard rn why am i suicidal and also like overjoyed,Mon Oct 21 22:05:22 +0000 2024,0,2
1848475383827734803,67,✧˖* vienna *˖✧,the way everyone else when to wwwy festival except me....,Mon Oct 21 21:24:09 +0000 2024,0,0
1848471650632929361,68,Gab Mayf,i have to skip all these wwwy festival tiktoks bc it’s making me depressed,Mon Oct 21 21:09:19 +0000 2024,0,0
1848469885023596873,69,feivel august der dritte🐭,When I have another mcr video from the wwwy festival on my fyp I am gonna cry.,Mon Oct 21 21:02:18 +0000 2024,0,2
1848463769812213953,70,craven 🍉 (taylor’s version),i wore an eras shirt to wwwy &amp; had a ton of frienship bracelets to give to ppl &amp; i had so many ppl tell me they were swemos but nervous to wear tay merch to the festival 😭 im here to represent for us all,Mon Oct 21 20:38:00 +0000 2024,0,0
1848460090732314777,71,Mad Matt,Now that WWWY is over I want to bring up concert/festival etiquette and 2 things that pissed me off this weekend.,Mon Oct 21 20:23:23 +0000 2024,0,3
1848458640761753746,72,DIO @ WWWY Festival,@DiscussingFilm They literally said https://t.co/gBcKYLHMQz,Mon Oct 21 20:17:37 +0000 2024,0,0
1848457105147367763,73,vic,Will I learn my lesson from WWWY and not pay for a festival months in advance. Probably not. I must see New Order every chance I get https://t.co/lMGk8ZxLOY,Mon Oct 21 20:11:31 +0000 2024,0,1
1848456881817133327,74,Cheyenne,"WWWY was decent but I can’t do another festival lmao I was near tears during MCR bc my feet hurt so bad

I hate to say it but FOB was better than MCR for me 🙊 their set was everything tbh",Mon Oct 21 20:10:37 +0000 2024,0,1
1848455376909254820,75,zwooz (misses wwwy Terribley),@salvationshots LITERALLY THE CRAZIEST THING TO EVER HAPPEN TO ME NOT ALL ANGELS HAVE WINGS SOME WALK TO STREETS OF LAS VEGAS AND GIVE TICKETS TO AN EMO FESTIVAL TO SOME TEENS,Mon Oct 21 20:04:39 +0000 2024,0,0
1848451858773475721,76,Kath || 86,"Los gringos no merecen a MCR, ni un festival como el WWWY",Mon Oct 21 19:50:40 +0000 2024,0,0
1848451488575811647,77,nico 🦇🍉 TEOS NOW! (no spoilers!),how wwwy weekend felt being at work instead of the festival https://t.co/fcTkF2ypYl,Mon Oct 21 19:49:12 +0000 2024,0,1
1848449589277561181,78,☮︎ Nurse 𝐀𝐍𝐀𝐇𝐈 w̸,Fuck my legs and feet are still recovering from the WWWY festival those combat boots where really killing me.,Mon Oct 21 19:41:39 +0000 2024,0,1
